ticket_id,text,coarse_category,issue_type,resolution,is_noisy
1000,vpn client says authentication failed but passwrod is correct,Network,vpn_connection_failure,"Restart the VPN client, confirm correct server region, and re-authenticate via SSO. If error 809 persists, check that UDP port 500/4500 is not blocked by local firewall.",True
1001,vpn keeps disconnecting every few minutes,Network,vpn_connection_failure,"Restart the VPN client, confirm correct server region, and re-authenticate via SSO. If error 809 persists, check that UDP port 500/4500 is not blocked by local firewall.",True
1002,lost my phone and cant complete two factor authentication,Access_Login,mfa_issues,"Re-sync the authenticator app time, or issue a temporary bypass code after identity verification. For lost devices, de-register old device and enroll a new one via the security portal.",False
1003,unable to establish vpn tunnel from home network,Network,vpn_connection_failure,"Restart the VPN client, confirm correct server region, and re-authenticate via SSO. If error 809 persists, check that UDP port 500/4500 is not blocked by local firewall.",False
1004,need passwrod reset for email asap plz help ticket urgent,Access_Login,password_reset,"Verify identity via registered MFA device, then trigger self-service password reset portal. If account is locked, unlock via IAM console after identity verification.",True
1005,windows update stuck at 45 percent for hours,Software,update_failure,"Run the Windows Update troubleshooter, clear the SoftwareDistribution cache, and retry; for persistent 0x8007xxxx errors, run DISM /RestoreHealth.",False
1006,application freezes and has to be force closed,Software,app_crash,"Clear the application cache/profile, repair the Office installation, and check Event Viewer for the specific exception to identify a faulty add-in.",False
1007,emails delayed by several hours,Account_Access_Data,email_not_syncing,"Check mailbox size against quota, repair the Outlook profile/OST file, and verify Exchange server connectivity status.",False
1008,file transfers to shared drive are taking forever,Network,slow_network_speed,"Run a speed test from a wired connection to isolate WiFi vs WAN issues, check for bandwidth-heavy background syncs, and escalate to network team if WAN saturation confirmed.",False
1009,VPN keeps disconnecting every few minutes,Network,vpn_connection_failure,"Restart the VPN client, confirm correct server region, and re-authenticate via SSO. If error 809 persists, check that UDP port 500/4500 is not blocked by local firewall.",False
1010,cant install latest security patch asap plz help ticket urgent,Software,update_failure,"Run the Windows Update troubleshooter, clear the SoftwareDistribution cache, and retry; for persistent 0x8007xxxx errors, run DISM /RestoreHealth.",True
1011,sso says invalid session pls try again,Access_Login,sso_login_error,"Clear browser cookies/cache for the identity provider domain, confirm system clock is correct, and retry. If persistent, check IdP status page for outages.",True
1012,VPN keeps disconnecting every few minutes,Network,vpn_connection_failure,"Restart the VPN client, confirm correct server region, and re-authenticate via SSO. If error 809 persists, check that UDP port 500/4500 is not blocked by local firewall.",False
1013,need access to install adobe photoshop,Software,software_install_request,"Submit software request through the self-service catalog for auto-approved titles; for licensed software, route to procurement for license allocation before install.",True
1014,application freezes and has to be force closed,Software,app_crash,"Clear the application cache/profile, repair the Office installation, and check Event Viewer for the specific exception to identify a faulty add-in.",True
1015,"black screen on startup, no bios logo",Hardware,laptop_wont_boot,"Confirm power adapter and battery health, attempt a hard reset (hold power 15s), and if no POST, escalate for hardware diagnostic/replacement.",False
1016,VPN keps disconnecting every few minutes,Network,vpn_connection_failure,"Restart the VPN client, confirm correct server region, and re-authenticate via SSO. If error 809 persists, check that UDP port 500/4500 is not blocked by local firewall.",True
1017,cannot install latest security patch,Software,update_failure,"Run the Windows Update troubleshooter, clear the SoftwareDistribution cache, and retry; for persistent 0x8007xxxx errors, run DISM /RestoreHealth.",False
1018,internet is extremely slow today,Network,slow_network_speed,"Run a speed test from a wired connection to isolate WiFi vs WAN issues, check for bandwidth-heavy background syncs, and escalate to network team if WAN saturation confirmed.",False
1019,sent items not showing up in outlook,Account_Access_Data,email_not_syncing,"Check mailbox size against quota, repair the Outlook profile/OST file, and verify Exchange server connectivity status.",True
1020,second monitor shows no signal,Hardware,monitor_no_display,"Reseat the display cable, verify dock firmware is current, and force-detect displays via display settings; swap cable/port to isolate faulty hardware.",False
1021,network speed test shows less than 1mbps,Network,slow_network_speed,"Run a speed test from a wired connection to isolate WiFi vs WAN issues, check for bandwidth-heavy background syncs, and escalate to network team if WAN saturation confirmed.",False
1022,need to restore a folder from last week,Account_Access_Data,data_recovery_request,"Check the recycle bin/OneDrive version history first; if unavailable, submit a backup restore request with file path and approximate deletion date.",True
1023,network speed test shows less than 1mbps,Network,slow_network_speed,"Run a speed test from a wired connection to isolate WiFi vs WAN issues, check for bandwidth-heavy background syncs, and escalate to network team if WAN saturation confirmed.",False
1024,laptop wont get an ip address on teh corporate wifi,Network,wifi_no_internet,"Forget and rejoin the WiFi network, renew DHCP lease (ipconfig /release && /renew), and confirm the access point is on the latest firmware.",True
1025,permission denied when opening team folder,Account_Access_Data,shared_drive_access,"Verify correct security group membership in AD/IAM, request manager approval if not yet a member, and add user to the relevant access group.",False
1026,need access added to project shared drive,Account_Access_Data,shared_drive_access,"Verify correct security group membership in AD/IAM, request manager approval if not yet a member, and add user to the relevant access group.",False
1027,emails delayed by several hours,Account_Access_Data,email_not_syncing,"Check mailbox size against quota, repair the Outlook profile/OST file, and verify Exchange server connectivity status.",False
1028,"cant access okta dashboard, blank page after login",Access_Login,sso_login_error,"Clear browser cookies/cache for the identity provider domain, confirm system clock is correct, and retry. If persistent, check IdP status page for outages.",False
1029,prints come out blank,Hardware,printer_not_working,"Clear the print queue and restart the print spooler service, reinstall printer driver if offline persists, check toner/ink levels for blank output.",True
1030,forgot my password and cant login,Access_Login,password_reset,"Verify identity via registered MFA device, then trigger self-service password reset portal. If account is locked, unlock via IAM console after identity verification.",False
1031,VPN keeps disconnecting every few minutes,Network,vpn_connection_failure,"Restart the VPN client, confirm correct server region, and re-authenticate via SSO. If error 809 persists, check that UDP port 500/4500 is not blocked by local firewall.",False
1032,"black screen on startup, no bios logo",Hardware,laptop_wont_boot,"Confirm power adapter and battery health, attempt a hard reset (hold power 15s), and if no POST, escalate for hardware diagnostic/replacement.",True
1033,emails delayed by several hours,Account_Access_Data,email_not_syncing,"Check mailbox size against quota, repair the Outlook profile/OST file, and verify Exchange server connectivity status.",False
1034,outlook keps crashing on startup,Software,app_crash,"Clear the application cache/profile, repair the Office installation, and check Event Viewer for the specific exception to identify a faulty add-in.",True
1035,unable to establish vpn tunnel from home network,Network,vpn_connection_failure,"Restart the VPN client, confirm correct server region, and re-authenticate via SSO. If error 809 persists, check that UDP port 500/4500 is not blocked by local firewall.",False
1036,cant connect to company VPN,Network,vpn_connection_failure,"Restart the VPN client, confirm correct server region, and re-authenticate via SSO. If error 809 persists, check that UDP port 500/4500 is not blocked by local firewall.",True
1037,windows update stuck at 45 percent for hours,Software,update_failure,"Run the Windows Update troubleshooter, clear the SoftwareDistribution cache, and retry; for persistent 0x8007xxxx errors, run DISM /RestoreHealth.",True
1038,"locked out of my workstation, wrong password too many times",Access_Login,password_reset,"Verify identity via registered MFA device, then trigger self-service password reset portal. If account is locked, unlock via IAM console after identity verification.",False
1039,not receiving mfa code on my phone,Access_Login,mfa_issues,"Re-sync the authenticator app time, or issue a temporary bypass code after identity verification. For lost devices, de-register old device and enroll a new one via the security portal.",True
1040,prints come out blank,Hardware,printer_not_working,"Clear the print queue and restart the print spooler service, reinstall printer driver if offline persists, check toner/ink levels for blank output.",True
1041,laptop wont turn on at all,Hardware,laptop_wont_boot,"Confirm power adapter and battery health, attempt a hard reset (hold power 15s), and if no POST, escalate for hardware diagnostic/replacement.",False
1042,need to restore a folder asap plz help ticket urgent,Account_Access_Data,data_recovery_request,"Check the recycle bin/OneDrive version history first; if unavailable, submit a backup restore request with file path and approximate deletion date.",True
1043,not receiving mfa code on my phone,Access_Login,mfa_issues,"Re-sync the authenticator app time, or issue a temporary bypass code after identity verification. For lost devices, de-register old device and enroll a new one via the security portal.",False
1044,dont have access to the finance shared drive,Account_Access_Data,shared_drive_access,"Verify correct security group membership in AD/IAM, request manager approval if not yet a member, and add user to the relevant access group.",False
1045,cannot install latest security patch,Software,update_failure,"Run the Windows Update troubleshooter, clear the SoftwareDistribution cache, and retry; for persistent 0x8007xxxx errors, run DISM /RestoreHealth.",False
1046,cant acess okta dashboard blank page after login,Access_Login,sso_login_error,"Clear browser cookies/cache for the identity provider domain, confirm system clock is correct, and retry. If persistent, check IdP status page for outages.",True
1047,unable to establish vpn tunnel from home network,Network,vpn_connection_failure,"Restart the VPN client, confirm correct server region, and re-authenticate via SSO. If error 809 persists, check that UDP port 500/4500 is not blocked by local firewall.",False
1048,dont have access to the finance shared drive,Account_Access_Data,shared_drive_access,"Verify correct security group membership in AD/IAM, request manager approval if not yet a member, and add user to the relevant access group.",False
